Flight,Service,Cost
Atlanta to Seattle,Expedia,176
Atlanta to Seattle,TripAdvisor,166
Atlanta to Seattle,Priceline,175.8
New York to Los Angeles,Expedia,195
New York to Los Angeles,TripAdvisor,195
New York to Los Angeles,Priceline,206.2
Cleveland to Orlando,Expedia,77
Cleveland to Orlando,TripAdvisor,72
Cleveland to Orlando,Priceline,76.21
Dallas to Indianapolis,Expedia,149
Dallas to Indianapolis,TripAdvisor,149
Dallas to Indianapolis,Priceline,148.2
